Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs,Cities,Houston Area Detail
77002.0,3513.0,220400.0,160500.0,310600.0,1184.0,Houston,Inner Loop
77003.0,4655.0,112500.0,79100.0,213000.0,696.0,Houston,Inner Loop
77004.0,16581.0,209000.0,121800.0,275000.0,790.0,Houston,Inner Loop
77005.0,10331.0,689600.0,476500.0,972000.0,2318.0,Houston,Inner Loop
77006.0,13141.0,329500.0,209500.0,441200.0,1169.0,Houston,Inner Loop
77007.0,16342.0,292200.0,216300.0,388500.0,1380.0,Houston,Inner Loop
77008.0,15646.0,274900.0,208500.0,373700.0,1095.0,Houston,Inner Loop
77009.0,15752.0,147800.0,92500.0,258400.0,796.0,Houston,Inner Loop
77011.0,6987.0,78500.0,64800.0,90200.0,545.0,Houston,Inner Loop
77012.0,7413.0,80300.0,61800.0,96500.0,639.0,Houston,Inner Loop
77013.0,6476.0,90200.0,70400.0,110200.0,808.0,Houston,Northeast
77014.0,11545.0,130300.0,102500.0,152300.0,925.0,Houston,Northwest
77015.0,18460.0,94300.0,70000.0,121300.0,830.0,Houston,Northeast
77016.0,10827.0,66600.0,47800.0,83000.0,634.0,Houston,Northeast
77017.0,11349.0,86800.0,71000.0,111100.0,761.0,Houston,Southeast
77018.0,12037.0,194800.0,150200.0,269900.0,925.0,Houston,Northwest
77019.0,10935.0,373600.0,229200.0,787500.0,1477.0,Houston,Inner Loop
77020.0,9553.0,71600.0,53800.0,93000.0,593.0,Houston,Inner Loop
77021.0,12178.0,80900.0,56500.0,131000.0,802.0,Houston,Inner Loop
77022.0,10511.0,85400.0,56400.0,113300.0,693.0,Houston,Northeast
77023.0,11025.0,103500.0,83800.0,151800.0,681.0,Houston,Inner Loop
77024.0,15799.0,600300.0,291900.0,985600.0,1728.0,Houston,Southwest
77025.0,13115.0,304900.0,192800.0,448400.0,1088.0,Houston,Inner Loop
77026.0,10472.0,59600.0,36500.0,84900.0,572.0,Houston,Inner Loop
77027.0,9646.0,467700.0,304500.0,755100.0,1285.0,Houston,Inner Loop
77028.0,6719.0,60200.0,40600.0,83700.0,554.0,Houston,Northeast
77029.0,6569.0,73200.0,53600.0,88100.0,654.0,Houston,Southeast
77030.0,6219.0,448900.0,210000.0,677800.0,1313.0,Houston,Inner Loop
77031.0,6660.0,121400.0,104900.0,142400.0,832.0,Houston,Southwest
77032.0,4539.0,79300.0,37100.0,101100.0,804.0,Houston,Northeast
77033.0,10354.0,65200.0,50400.0,81400.0,686.0,Houston,Southeast
77034.0,12938.0,103500.0,85300.0,125400.0,884.0,Houston,Southeast
77035.0,16270.0,142300.0,96400.0,195000.0,799.0,Houston,Southwest
77036.0,31058.0,116400.0,78300.0,143300.0,690.0,Houston,Southwest
77037.0,5417.0,94800.0,63900.0,117700.0,829.0,Houston,Northeast
77038.0,7691.0,91600.0,77200.0,113400.0,984.0,Houston,Northwest
77039.0,8106.0,91000.0,71900.0,112200.0,735.0,Houston,Northeast
77040.0,17204.0,125700.0,93400.0,175400.0,1047.0,Houston,Northwest
77041.0,11820.0,135100.0,92900.0,245800.0,1179.0,Houston,Northwest
77042.0,20874.0,199700.0,104000.0,318700.0,904.0,Houston,Southwest
77043.0,9253.0,147600.0,102300.0,185600.0,893.0,Houston,Northwest
77044.0,9923.0,127000.0,80000.0,218800.0,1298.0,Houston,Northeast
77045.0,9802.0,89300.0,74800.0,104100.0,961.0,Houston,Southwest
77046.0,818.0,306000.0,200600.0,468400.0,1462.0,Houston,Inner Loop
77047.0,8300.0,101200.0,72900.0,129500.0,1082.0,Houston,Southeast
77048.0,6506.0,83300.0,70200.0,101700.0,707.0,Houston,Southeast
77049.0,8899.0,100900.0,81500.0,146500.0,1221.0,Houston,Northeast
77050.0,1437.0,76300.0,47800.0,91400.0,652.0,Houston,Northeast
77051.0,6594.0,53400.0,38600.0,75700.0,607.0,Houston,Southeast
77054.0,13322.0,121800.0,71200.0,188400.0,920.0,Houston,Inner Loop
77055.0,16019.0,200600.0,109000.0,400600.0,882.0,Houston,Northwest
77056.0,11896.0,546800.0,291600.0,949800.0,1460.0,Houston,Southwest
77057.0,22857.0,229200.0,140400.0,479700.0,1024.0,Houston,Southwest
77058.0,9565.0,153600.0,98800.0,208600.0,952.0,Houston,Southeast
77059.0,6158.0,239700.0,182600.0,347100.0,1865.0,Houston,Southeast
77060.0,15977.0,92100.0,75500.0,112700.0,715.0,Houston,Northeast
77061.0,9868.0,117700.0,86600.0,151100.0,704.0,Houston,Southeast
77062.0,9962.0,155600.0,132100.0,188200.0,1281.0,Houston,Southeast
77063.0,19648.0,191100.0,104600.0,294800.0,901.0,Houston,Southwest
77064.0,15818.0,135500.0,99100.0,169800.0,1185.0,Houston,Northwest
77065.0,14406.0,144100.0,114500.0,178800.0,1106.0,Houston,Northwest
77066.0,10132.0,121200.0,93500.0,150000.0,1142.0,Houston,Northwest
77067.0,10569.0,101600.0,88000.0,119500.0,961.0,Houston,Other Cities
77068.0,3740.0,164900.0,133800.0,216600.0,1421.0,Houston,Northwest
77069.0,8014.0,213200.0,140000.0,299800.0,1104.0,Houston,Northwest
77070.0,18559.0,158500.0,128900.0,190100.0,1234.0,Houston,Northwest
77071.0,10766.0,124300.0,102800.0,161000.0,939.0,Houston,Southwest
77072.0,19973.0,97700.0,78100.0,118500.0,901.0,Houston,Southwest
77073.0,12143.0,114800.0,96500.0,136100.0,1166.0,Houston,Northeast
77074.0,14612.0,107400.0,81700.0,133300.0,781.0,Houston,Southwest
77075.0,12434.0,115100.0,89600.0,142000.0,971.0,Houston,Southeast
77076.0,9923.0,90400.0,72700.0,109800.0,754.0,Houston,Northeast
77077.0,27097.0,202800.0,156700.0,276800.0,1072.0,Houston,Southwest
77078.0,5104.0,73800.0,57000.0,87200.0,766.0,Houston,Northeast
77079.0,13423.0,309500.0,144200.0,420900.0,1297.0,Houston,Southwest
77080.0,16900.0,129300.0,100700.0,164500.0,791.0,Houston,Northwest
77081.0,19583.0,179800.0,120500.0,292400.0,686.0,Houston,Southwest
77082.0,22230.0,131300.0,105200.0,194200.0,1054.0,Houston,Southwest
77083.0,21788.0,122400.0,100800.0,155900.0,1253.0,Houston,Southwest
77084.0,32620.0,128700.0,105400.0,157700.0,1207.0,Houston,Northwest
77085.0,5051.0,114100.0,97200.0,136300.0,1165.0,Houston,Southwest
77086.0,8484.0,98700.0,89800.0,116700.0,988.0,Houston,Northwest
77087.0,12084.0,84600.0,70900.0,101800.0,725.0,Houston,Other Cities
77088.0,17995.0,96000.0,76200.0,118800.0,913.0,Houston,Northwest
77089.0,16779.0,122500.0,101300.0,153100.0,1105.0,Houston,Southeast
77090.0,15785.0,141700.0,100900.0,169200.0,903.0,Houston,Northwest
77091.0,10887.0,97300.0,68800.0,152700.0,700.0,Houston,Northwest
77092.0,14840.0,126200.0,93000.0,157700.0,746.0,Houston,Northwest
77093.0,13653.0,76300.0,54800.0,96900.0,649.0,Houston,Other Cities
77094.0,2954.0,284100.0,222400.0,396700.0,2266.0,Houston,Southwest
77095.0,23083.0,169900.0,139800.0,205400.0,1498.0,Houston,Northwest
77096.0,15377.0,247700.0,176900.0,328100.0,934.0,Houston,Southwest
77098.0,8074.0,412300.0,271900.0,568600.0,1296.0,Houston,Inner Loop
77099.0,18091.0,101900.0,88100.0,117700.0,884.0,Houston,Southwest
77336.0,4534.0,134700.0,88200.0,243600.0,1057.0,Huffman,Other Cities
77338.0,12165.0,106600.0,88900.0,129900.0,1040.0,Humble,Other Cities
77339.0,15848.0,148300.0,122700.0,184100.0,1222.0,Kingwood2,Other Cities
77345.0,9780.0,235000.0,171300.0,307700.0,1786.0,Kingwood2,Other Cities
77346.0,17980.0,157800.0,128800.0,198600.0,1538.0,Humble2,Other Cities
77373.0,19127.0,114600.0,90500.0,147100.0,1281.0,Spring,Other Cities
77375.0,14171.0,146400.0,112200.0,177300.0,1257.0,Tomball,Other Cities
77377.0,9378.0,193100.0,142400.0,244700.0,1497.0,Tomball,Other Cities
77379.0,24425.0,193200.0,148600.0,277700.0,1657.0,Spring2,Other Cities
77388.0,13673.0,153800.0,122600.0,196600.0,1544.0,Spring2,Other Cities
77389.0,7060.0,165300.0,105700.0,274000.0,1572.0,Spring2,Other Cities
77396.0,13634.0,109400.0,80300.0,157400.0,1172.0,Humble3,Other Cities
77401.0,7073.0,538700.0,323100.0,784200.0,1999.0,Bellaire,Other Cities
77429.0,23930.0,190400.0,142400.0,277700.0,1612.0,Cypress2,Other Cities
77433.0,14708.0,172500.0,135800.0,248100.0,1668.0,Cypress2,Other Cities
77447.0,3969.0,125000.0,82700.0,212800.0,1094.0,Hockley,Other Cities
77449.0,27607.0,122300.0,101600.0,145000.0,1387.0,Katy,Other Cities
77450.0,23931.0,187500.0,140200.0,265500.0,1538.0,Katy,Other Cities
77484.0,3875.0,147500.0,69400.0,246500.0,927.0,Waller,Other Cities
77493.0,7111.0,146500.0,106800.0,191200.0,1305.0,Katy2,Other Cities
77502.0,12111.0,94000.0,80200.0,114600.0,837.0,Pasadena,Other Cities
77503.0,8720.0,93900.0,76300.0,114400.0,802.0,Pasadena,Other Cities
77504.0,9564.0,119000.0,69500.0,163700.0,794.0,Pasadena,Other Cities
77505.0,8651.0,156200.0,120600.0,195200.0,1216.0,Pasadena,Other Cities
77506.0,12318.0,76100.0,60900.0,88800.0,693.0,Pasadena,Other Cities
77520.0,14254.0,79600.0,54400.0,112500.0,745.0,Baytown,Other Cities
77521.0,18605.0,121000.0,88200.0,157500.0,967.0,Baytown,Other Cities
77530.0,9737.0,87500.0,67500.0,112000.0,892.0,Channelview,Other Cities
77532.0,9408.0,118600.0,80100.0,167500.0,956.0,Crosby,Other Cities
77536.0,11074.0,130600.0,103600.0,166700.0,1202.0,Deer Park,Other Cities
77547.0,2774.0,71600.0,61100.0,92200.0,809.0,Galena Park,Other Cities
77562.0,3993.0,91500.0,54100.0,135100.0,863.0,Highlands,Other Cities
77571.0,13267.0,119700.0,98000.0,149300.0,1143.0,La Porte,Other Cities
77586.0,9491.0,192100.0,145700.0,244500.0,1259.0,Seabrook,Other Cities
77587.0,5586.0,87400.0,59300.0,110200.0,691.0,South Houston,Other Cities
77598.0,11276.0,118200.0,102900.0,138100.0,884.0,Webster,Other Cities
