Zipcode,Median Household Income,Median Value
77562,57394.0,95900.0
77571,68102.0,122200.0
77586,86786.0,190100.0
77587,36083.0,77900.0
77598,46682.0,117100.0
77002,64093.0,208600.0
77003,36412.0,162600.0
77004,41983.0,191700.0
77005,159732.0,754000.0
77006,67458.0,327300.0
77007,98725.0,308700.0
77008,70293.0,292200.0
77009,44651.0,163000.0
77010,250001.0,-666666666.0
77011,26838.0,80300.0
77012,34975.0,82600.0
77013,36829.0,84900.0
77014,40659.0,119300.0
77015,44167.0,92200.0
77016,31327.0,63700.0
77017,35586.0,86400.0
77018,61980.0,218400.0
77019,87394.0,378700.0
77020,29401.0,70500.0
77021,31103.0,83900.0
77022,28810.0,81700.0
77023,36033.0,102700.0
77024,111139.0,658600.0
77025,65828.0,331200.0
77026,20024.0,59600.0
77027,81661.0,475900.0
77028,29389.0,59100.0
77029,31715.0,69500.0
77030,68980.0,501100.0
77031,39278.0,114900.0
77032,23389.0,72900.0
77033,27272.0,65600.0
77034,43905.0,99700.0
77035,36345.0,156300.0
77036,28266.0,113900.0
77037,35518.0,84200.0
77038,38160.0,86300.0
77039,38167.0,85000.0
77040,53194.0,121700.0
77041,70608.0,137200.0
77042,46159.0,211900.0
77043,54359.0,140800.0
77044,72761.0,140000.0
77045,36952.0,85500.0
77046,85493.0,295000.0
77047,49246.0,103400.0
77048,36818.0,81200.0
77049,50348.0,104000.0
77050,44327.0,73100.0
77051,22920.0,58800.0
77054,41694.0,119300.0
77055,46987.0,230300.0
77056,93069.0,555700.0
77057,54594.0,224900.0
77058,49589.0,158400.0
77059,136355.0,243000.0
77060,27750.0,90400.0
77061,34566.0,113800.0
77062,87960.0,160100.0
77063,49873.0,176600.0
77064,62610.0,133300.0
77065,54091.0,140600.0
77066,59855.0,114800.0
77067,37309.0,94700.0
77068,67945.0,165200.0
77069,68495.0,206000.0
77070,69139.0,154500.0
77071,45941.0,117500.0
77072,35462.0,94100.0
77073,51206.0,108300.0
77074,36207.0,104800.0
77075,45581.0,114600.0
77076,31212.0,86500.0
77077,59958.0,208900.0
77078,30368.0,70700.0
77079,95589.0,326400.0
77080,38159.0,130600.0
77081,26741.0,217100.0
77082,50294.0,124000.0
77083,53879.0,117900.0
77084,62785.0,124300.0
77085,49466.0,106600.0
77086,42030.0,93500.0
77087,38707.0,84800.0
77088,40896.0,93400.0
77089,63141.0,121000.0
77090,36138.0,138800.0
77091,27903.0,95300.0
77092,37314.0,130200.0
77093,31725.0,75200.0
77094,146518.0,295200.0
77095,89393.0,167000.0
77096,63346.0,255900.0
77098,81907.0,424200.0
77099,35252.0,96300.0
77201,-666666666.0,-666666666.0
77336,62995.0,142000.0
77338,48046.0,102600.0
77339,73135.0,150300.0
77345,119708.0,243300.0
77346,86523.0,156600.0
77373,67742.0,110900.0
77375,60782.0,147900.0
77377,87474.0,193000.0
77379,97692.0,190200.0
77388,82936.0,147500.0
77389,99702.0,190700.0
77396,56575.0,109200.0
77401,144821.0,608300.0
77429,96695.0,187000.0
77433,89258.0,173100.0
77447,65682.0,120700.0
77449,65420.0,118500.0
77450,100957.0,191900.0
77484,63045.0,132500.0
77493,78452.0,148900.0
77502,43014.0,93000.0
77503,44939.0,88600.0
77504,40321.0,117700.0
77505,72695.0,160700.0
77506,30617.0,72600.0
77507,-666666666.0,-666666666.0
77520,43409.0,76100.0
77521,53726.0,120000.0
77530,44786.0,86900.0
77532,63236.0,121000.0
77536,77824.0,133500.0
77547,38692.0,70100.0
