,Cities_by_Zipcodes,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Population_2017
0,Houston,2842163.0,2883057.0,2930055.0,2983497.0,3030859.0,3073737.0,3124010.0
1,Huffman,12345.0,12116.0,12022.0,11699.0,12044.0,11806.0,12397.0
2,Humble,125731.0,130236.0,134815.0,141209.0,146670.0,150215.0,157920.0
3,Kingwood,64777.0,66561.0,68079.0,69975.0,69257.0,70872.0,70493.0
4,Spring,183367.0,189619.0,193242.0,196267.0,204598.0,211706.0,214205.0
5,Tomball,66228.0,70084.0,72710.0,75287.0,78852.0,82164.0,87283.0
6,Bellaire,17452.0,17522.0,17874.0,18130.0,18510.0,18667.0,19062.0
7,Cypress,115434.0,122639.0,129876.0,136761.0,144028.0,150801.0,161407.0
8,Hockley,11941.0,12555.0,13542.0,13186.0,13616.0,15417.0,15246.0
9,Katy,177337.0,182916.0,189781.0,197296.0,206434.0,213796.0,223819.0
10,Waller,10630.0,10921.0,10898.0,11370.0,11512.0,10716.0,10710.0
11,Pasadena,144184.0,144644.0,146162.0,146939.0,147442.0,148895.0,150504.0
12,Baytown,84032.0,86459.0,88141.0,91019.0,92339.0,93863.0,93819.0
13,Channelview,31322.0,30853.0,30368.0,30475.0,30175.0,30635.0,31119.0
14,Crosby,24270.0,26356.0,27208.0,28394.0,28430.0,29224.0,28320.0
15,Deer Park,30588.0,30891.0,31295.0,31960.0,32531.0,32182.0,32392.0
16,Galena Park,9798.0,9975.0,9782.0,9957.0,10027.0,9999.0,10077.0
17,Highlands,10456.0,10861.0,10751.0,10720.0,10591.0,10490.0,10665.0
18,La Porte,35975.0,35787.0,36116.0,36580.0,36865.0,37031.0,37374.0
19,Seabrook,20955.0,21563.0,22044.0,22114.0,22550.0,22280.0,22182.0
20,South Houston,16515.0,16648.0,16734.0,17052.0,16868.0,16862.0,16901.0
21,Webster,23461.0,24074.0,23738.0,24538.0,23877.0,24309.0,24689.0
