Cities_by_Zipcodes,Population_2012
Houston,2883057.0
North Houston,0.0
Kingwood,0.0
Huffman,12116.0
Hufsmith,0.0
Humble,33298.0
Kingwood2,66561.0
Humble2,53077.0
Spring,55351.0
Tomball,70084.0
Spring2,134268.0
Humble3,43861.0
Bellaire,17522.0
Cypress,0.0
Alief,0.0
Barker,0.0
Cypress2,122639.0
Hockley,12555.0
Katy,160221.0
Waller,10921.0
Katy2,22695.0
Pasadena,144644.0
Baytown,86459.0
Channelview,30853.0
Crosby,26356.0
Deer Park,30891.0
Galena Park,9975.0
Highlands,10861.0
La Porte,35787.0
Seabrook,21563.0
South Houston,16648.0
Webster,24074.0
